  i          x            density        pressure        velocity
 357   8.9223057E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 358   8.9473683E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 359   8.9724308E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 360   8.9974934E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 361   9.0225565E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 362   9.0476191E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 363   9.0726817E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 364   9.0977442E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 365   9.1228068E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 366   9.1478693E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 367   9.1729325E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 368   9.1979951E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 369   9.2230576E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 370   9.2481202E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 371   9.2731827E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 372   9.2982453E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 373   9.3233085E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 374   9.3483710E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 375   9.3734336E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 376   9.3984962E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 377   9.4235587E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 378   9.4486213E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 379   9.4736844E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 380   9.4987470E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 381   9.5238096E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 382   9.5488721E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 383   9.5739347E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 384   9.5989972E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 385   9.6240604E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 386   9.6491230E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 387   9.6741855E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 388   9.6992481E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 389   9.7243106E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 390   9.7493732E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 391   9.7744358E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 392   9.7994989E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 393   9.8245615E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 394   9.8496240E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 395   9.8746866E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 396   9.8997492E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 397   9.9248117E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 398   9.9498749E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 399   9.9749374E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
 400   1.0000000E+00   1.2500000E-01   1.0000000E-01   0.0000000E+00
